12	260009730
12	17568791
12	22512883
12	15808761
12	10135072
12	988
12	22424855
12	9163182
12	22990962
12	7681662
13	17289517
14	988
15	31695301
16	50613
17	2622731
17	14692547
18	4068781
20	988
20	849101
20	615723
20	4396
20	5669182
21	14111400
21	14945780
21	1401991
21	14136236
21	2766881
21	152879784
22	13527
22	641013
22	3066401
22	12415492
22	12319142
22	6466252
22	876081
22	45603
22	20135854
24	14945780
24	15458366
31	988
31	14724790
38	817000
47	5212
47	684013
47	5513702
47	62893
47	15829680
47	12415492
47	1413771
47	14579345
47	14135545
47	2622731
47	15910642
53	46363
53	46063
53	5669182
56	292749369
57	819814
57	108370814
57	5271891
57	16906308
58	19954039
58	27863886
58	19360635
58	24074169
61	161035866
62	3011091
67	14070439
70	25953110
87	15322216
87	30863
107	14272244
107	18715444
107	15898454
107	260333537
107	63438821
107	18448279
107	14131984
107	615723
107	12203692
107	14580533
108	6817652
136	30863
136	14680556
136	817000
136	16865781
141	1330151
150	6586332
150	20147562
150	13251382
189	6769622
194	16075573
194	14320620
194	54747537
194	27844182
194	8105192
194	14082399
194	17560290
194	18097644
202	7747592
202	37033098
221	14344011
221	44142410
221	117450379
221	14247924
222	14254009
222	69495044
222	32980108
224	14439168
224	783837
238	21720607
238	26444496
238	18998184
238	9862782
242	78228559
242	28989352
246	1684201
246	6806292
246	876081
246	1112431
246	119439864
246	32973
246	12636502
246	14636531
246	62933
257	14579345
259	14806927
259	12653
259	6944182
260	52356089
260	15811658
260	73402597
260	164518645
260	6944182
260	6856042
265	17957897
265	19297459
266	988
266	15727755
274	16310411
288	7792742
291	8548612
293	7465982
293	7897372
293	4396
294	20144249
295	15839499
295	14248746
295	4916821
295	9823482
295	19603472
295	18996660
295	18196178
295	19746393
299	18856703
299	161035866
314	18666930
314	21780652
314	48729685
314	30105662
314	14516621
314	14220243
314	1013811
314	20269833
314	30914544
314	14079408
314	6780352
314	30654074
322	9823482
324	21883162
324	17307343
324	18996660
334	14439168
338	666523
341	18631817
341	22512085
341	44873360
344	7331992
344	29247116
344	19176429
346	7792742
346	71599519
352	14344011
357	676363
357	1298
357	155792265
357	6780352
364	5212
364	16538577
364	82002786
364	33894368
364	33685429
388	87050747
388	155792265
388	55111482
391	12909522
407	17292872
409	15951152
409	615723
409	46063
